BuildingID,addr_full,lng,lat
"61053","3520 DEKALB AVENUE BRONX NY 10467","-73.8796","40.8829"
"69095","871 EAST 220 STREET BRONX NY 10467","-73.857","40.8827"
"107125","3535 ROCHAMBEAU AVENUE BRONX NY 10467","-73.8792","40.8827"
"61050","3511 DEKALB AVENUE BRONX NY 10467","-73.8803","40.8826"
"80045","3418 GATES PLACE BRONX NY 10467","-73.884","40.8823"
"46557","3460 BAILEY AVENUE BRONX NY 10463","-73.8993","40.882"
"46556","3458 BAILEY AVENUE BRONX NY 10463","-73.8994","40.8819"
"68709","827 EAST 218 STREET BRONX NY 10467","-73.8592","40.8818"
"889477","821 EAST 218 STREET BRONX NY 10467","-73.8596","40.8817"
"61042","3433 DEKALB AVENUE BRONX NY 10467","-73.882","40.8812"
"120347","3514 WAYNE AVENUE BRONX NY 10467","-73.8774","40.8811"
"100464","3643 OLINVILLE AVENUE BRONX NY 10467","-73.867","40.881"
"68564","901 EAST 217 STREET BRONX NY 10469","-73.8575","40.8805"
"68758","930 EAST 218 STREET BRONX NY 10469","-73.8563","40.8805"
"68792","1026 EAST 219 STREET BRONX NY 10469","-73.8535","40.8803"
"67495","16 EAST 208 STREET BRONX NY 10467","-73.883","40.8802"
"68170","708 EAST 215 STREET BRONX NY 10467","-73.8641","40.8802"
"124680","3619 WILLETT AVENUE BRONX NY 10467","-73.8664","40.8802"
"100443","3609 OLINVILLE AVENUE BRONX NY 10467","-73.8674","40.8802"
"100009","1457 OAKLEY STREET BRONX NY 10469","-73.8501","40.8801"
"61034","3540 DECATUR AVENUE BRONX NY 10467","-73.8717","40.88"
"124676","3615 WILLETT AVENUE BRONX NY 10467","-73.8665","40.88"
"124675","3611 WILLETT AVENUE BRONX NY 10467","-73.8665","40.88"
"85997","3644 HOLLAND AVENUE BRONX NY 10467","-73.8632","40.8798"
"67497","34 EAST 208 STREET BRONX NY 10467","-73.8827","40.8797"
"61031","3525 DECATUR AVENUE BRONX NY 10467","-73.8725","40.8796"
"69496","1315 EAST 222 STREET BRONX NY 10469","-73.8439","40.8796"
"89719","3052 KINGSBRIDGE AVENUE BRONX NY 10463","-73.9066","40.8795"
"98868","1462 NEEDHAM AVENUE BRONX NY 10469","-73.849","40.8794"
"858159","2015 NEW ENGLAND THRUWAY BRONX NY 10475","-73.8337","40.8792"
"68017","740 EAST 214 STREET BRONX NY 10467","-73.8634","40.8792"
"61029","3501 DECATUR AVENUE BRONX NY 10467","-73.8727","40.8791"
"68019","744 EAST 214 STREET BRONX NY 10467","-73.8633","40.8791"
"98848","1419 NEEDHAM AVENUE BRONX NY 10469","-73.8508","40.879"
"67857","801 EAST 213 STREET BRONX NY 10467","-73.8614","40.8787"
"67844","753 EAST 213 STREET BRONX NY 10467","-73.8627","40.8787"
"73808","85 EAST MOSHOLU PARKWAY NORTH BRONX NY 10467","-73.8824","40.8786"
"67858","803 EAST 213 STREET BRONX NY 10467","-73.8614","40.8786"
"123286","3535 WHITE PLAINS ROAD BRONX NY 10467","-73.8663","40.8785"
"875189","3709 LACONIA AVENUE BRONX NY 10469","-73.8534","40.8784"
"73810","93 EAST MOSHOLU PARKWAY NORTH BRONX NY 10467","-73.8826","40.8783"
"98825","1309 NEEDHAM AVENUE BRONX NY 10469","-73.8525","40.8782"
"67852","764 EAST 213 STREET BRONX NY 10467","-73.8625","40.8781"
"85970","3550 HOLLAND AVENUE BRONX NY 10467","-73.8639","40.8781"
"73778","111 EAST MOSHOLU PARKWAY NORTH BRONX NY 10467","-73.8821","40.878"
"61021","3349 DECATUR AVENUE BRONX NY 10467","-73.8731","40.878"
"121353","231 WEST 230 STREET BRONX NY 10463","-73.9072","40.878"
"806746","1356 HICKS STREET BRONX NY 10469","-73.8506","40.8779"
"67491","106 EAST 208 STREET BRONX NY 10467","-73.881","40.8779"
"84307","3075 HEATH AVENUE BRONX NY 10463","-73.9019","40.8778"
"46527","3061 BAILEY AVENUE BRONX NY 10463","-73.9031","40.8778"
"67602","761 EAST 211 STREET BRONX NY 10467","-73.8628","40.8777"
"61017","3344 DECATUR AVENUE BRONX NY 10467","-73.8726","40.8777"
"102966","3324 PERRY AVENUE BRONX NY 10467","-73.8745","40.8776"
"120754","3343 WEBSTER AVENUE BRONX NY 10467","-73.8723","40.8776"
"806392","3436 CORSA AVENUE BRONX NY 10469","-73.8477","40.8775"
"67879","900A EAST 213 STREET BRONX NY 10469","-73.859","40.8774"
"78629","3444 FISH AVENUE BRONX NY 10469","-73.85","40.8771"
"25387","99 MARBLE HILL AVENUE MANHATTAN NY 10463","-73.9095","40.8771"
"67515","315 EAST 209 STREET BRONX NY 10467","-73.8746","40.877"
"117818","3175 VILLA AVENUE BRONX NY 10468","-73.8872","40.8765"
"43791","130 WEST 228 STREET MANHATTAN NY 10463","-73.9088","40.8765"
"100414","3435 OLINVILLE AVENUE BRONX NY 10467","-73.8684","40.8763"
"67518","364 EAST 209 STREET BRONX NY 10467","-73.8735","40.8761"
"67435","195 EAST 206 STREET BRONX NY 10458","-73.8839","40.876"
"25378","58 MARBLE HILL AVENUE MANHATTAN NY 10463","-73.9092","40.8758"
"67461","237 EAST 207 STREET BRONX NY 10467","-73.8787","40.8757"
"67427","174 EAST 206 STREET BRONX NY 10458","-73.8847","40.8757"
"77979","3357 FENTON AVENUE BRONX NY 10469","-73.848","40.8756"
